MANDT,CARRID,CONNID,FLDATE,BOOKID,CUSTOMID,INSTNO,PAYMETH,AMOUNT,CURRENCY,ARCHIVE_
300,AZ,0788,2011-06-07,00063917,00004369,0001,P,515.00,EUR,
300,AZ,0788,2011-06-07,00063926,00001575,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072691,00000862,0001,C,599.00,EUR,
300,AZ,0788,2011-06-07,00063881,00004281,0001,P,515.00,EUR,
300,AZ,0788,2011-06-07,00063692,00003421,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072693,00002630,0001,C,566.00,EUR,
300,DL,0106,2010-10-04,00010391,00001434,0001,C,305.00,USD,
300,AZ,0788,2011-06-07,00063740,00003526,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072694,00004535,0001,C,599.00,EUR,
300,AZ,0788,2010-08-17,00045288,00003173,0001,P,515.00,EUR,
300,DL,0106,2010-10-04,00010077,00001434,0001,C,305.00,USD,
300,AZ,0788,2010-08-17,00045327,00000917,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072696,00000959,0001,C,599.00,EUR,
300,DL,0106,2010-10-04,00010302,00003080,0001,C,305.00,USD,
300,AZ,0788,2010-08-17,00045336,00002855,0001,P,515.00,EUR,
300,AZ,0788,2010-08-17,00045291,00001531,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072697,00001828,0001,C,666.00,EUR,
300,DL,0106,2010-10-04,00010113,00000744,0001,C,305.00,USD,
300,AZ,0788,2010-08-17,00045632,00001563,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072699,00004503,0001,C,599.00,EUR,
300,DL,0106,2010-10-04,00010119,00001310,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072700,00004200,0001,C,666.00,EUR,
300,DL,0106,2010-10-04,00010419,00001659,0001,C,305.00,USD,
300,DL,0106,2010-10-04,00010249,00004244,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072702,00000634,0001,C,599.00,EUR,
300,LH,0401,2011-09-28,00072703,00002370,0001,C,666.00,EUR,
300,DL,0106,2010-10-04,00010316,00003377,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072705,00000699,0001,C,566.00,EUR,
300,DL,0106,2010-10-04,00010430,00003397,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072706,00000170,0001,C,566.00,EUR,
300,DL,0106,2010-10-04,00010296,00001768,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072708,00001793,0001,C,632.00,EUR,
300,LH,0401,2011-09-28,00072709,00003599,0001,C,632.00,EUR,
300,DL,0106,2010-10-04,00010410,00001591,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072711,00002613,0001,C,899.00,EUR,
300,AZ,0788,2010-08-17,00045605,00004413,0001,P,515.00,EUR,
300,DL,0106,2010-10-04,00010282,00000127,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072712,00000235,0001,C,949.00,EUR,
300,AZ,0788,2010-08-17,00045408,00000051,0001,P,515.00,EUR,
300,DL,0106,2010-10-04,00010416,00000145,0001,C,305.00,USD,
300,AZ,0788,2010-08-17,00045354,00003020,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072714,00001612,0001,C,949.00,EUR,
300,AZ,0788,2010-08-17,00045596,00004574,0001,P,515.00,EUR,
300,DL,0106,2010-10-04,00010398,00001896,0001,C,305.00,USD,
300,AZ,0788,2010-08-17,00045539,00002189,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072715,00000733,0001,C,949.00,EUR,
300,AZ,0788,2010-08-17,00045318,00000447,0001,P,515.00,EUR,
300,DL,0106,2010-10-04,00010167,00002446,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072717,00002497,0001,C,849.00,EUR,
300,AZ,0788,2010-08-17,00045420,00000159,0001,P,515.00,EUR,
300,DL,0106,2010-10-04,00010170,00002000,0001,C,305.00,USD,
300,AZ,0788,2010-08-17,00045477,00001238,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072718,00004186,0001,C,899.00,EUR,
300,AZ,0788,2010-08-17,00045611,00001495,0001,P,515.00,EUR,
300,DL,0106,2010-10-04,00010358,00003470,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072720,00000883,0001,C,849.00,EUR,
300,AZ,0788,2010-08-17,00045456,00004550,0001,P,515.00,EUR,
300,AZ,0788,2010-08-17,00045321,00003843,0001,P,515.00,EUR,
300,DL,0106,2010-10-04,00010335,00000483,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072721,00003858,0001,C,849.00,EUR,
300,AZ,0788,2010-08-17,00045396,00000008,0001,P,515.00,EUR,
300,DL,0106,2010-10-04,00010236,00002908,0001,C,305.00,USD,
300,AZ,0788,2010-08-17,00045623,00003357,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072723,00001340,0001,C,899.00,EUR,
300,AZ,0788,2010-08-17,00045602,00001446,0001,P,515.00,EUR,
300,DL,0106,2010-10-04,00010246,00004321,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072724,00002099,0001,C,899.00,EUR,
300,AZ,0788,2010-08-17,00045306,00003514,0001,P,515.00,EUR,
300,AZ,0788,2010-08-17,00045566,00002185,0001,P,515.00,EUR,
300,DL,0106,2010-10-04,00010114,00000933,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072726,00002423,0001,C,949.00,EUR,
300,AZ,0788,2010-08-17,00045303,00001169,0001,P,515.00,EUR,
300,DL,0106,2010-10-04,00010165,00000620,0001,C,305.00,USD,
300,AZ,0788,2010-08-17,00045405,00001290,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072727,00004284,0001,C,849.00,EUR,
300,AZ,0788,2010-08-17,00045387,00001892,0001,P,515.00,EUR,
300,DL,0106,2010-10-04,00010123,00001748,0001,C,305.00,USD,
300,AZ,0788,2010-08-17,00045333,00002980,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072729,00000488,0001,C,316.00,EUR,
300,AZ,0788,2010-08-17,00045626,00003654,0001,P,515.00,EUR,
300,DL,0106,2010-10-04,00010355,00000091,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072730,00003110,0001,C,299.00,EUR,
300,AZ,0788,2010-08-17,00045608,00003149,0001,P,515.00,EUR,
300,AZ,0788,2010-08-17,00045441,00004104,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019518,00000451,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072732,00000965,0001,C,333.00,EUR,
300,AZ,0788,2010-08-17,00045339,00003903,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019310,00003626,0001,C,305.00,USD,
300,AZ,0788,2010-08-17,00045297,00000780,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072733,00002948,0001,C,333.00,EUR,
300,AZ,0788,2010-08-17,00045474,00000467,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019539,00004273,0001,C,305.00,USD,
300,AZ,0788,2010-08-17,00045276,00000179,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072735,00003825,0001,C,299.00,EUR,
300,AZ,0788,2010-08-17,00045351,00001868,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019524,00000479,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072736,00000487,0001,C,333.00,EUR,
300,AZ,0788,2010-08-17,00045426,00001808,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019601,00002900,0001,C,305.00,USD,
300,AZ,0788,2010-08-17,00045515,00001808,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072738,00003960,0001,C,316.00,EUR,
300,AZ,0788,2010-04-27,00038462,00000892,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019448,00002518,0001,C,305.00,USD,
300,AZ,0788,2010-04-27,00038363,00003638,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072739,00001719,0001,C,333.00,EUR,
300,AZ,0788,2010-04-27,00038402,00001342,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019386,00001310,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072741,00002599,0001,C,333.00,EUR,
300,AZ,0788,2010-04-27,00038683,00004293,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019550,00001984,0001,C,305.00,USD,
300,AZ,0788,2010-04-27,00038491,00003466,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072742,00003590,0001,C,333.00,EUR,
300,AZ,0788,2010-04-27,00038554,00002835,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019331,00003193,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072744,00000997,0001,C,333.00,EUR,
300,AZ,0788,2010-04-27,00038459,00002699,0001,P,515.00,EUR,
300,AZ,0788,2010-04-27,00038396,00003996,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072745,00000867,0001,C,283.00,EUR,
300,AZ,0788,2010-04-27,00038429,00002197,0001,P,515.00,EUR,
300,AZ,0788,2010-04-27,00038575,00002671,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072747,00000155,0001,C,316.00,EUR,
300,AZ,0788,2010-04-27,00038650,00004489,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019269,00001663,0001,C,305.00,USD,
300,AZ,0788,2010-04-27,00038426,00000728,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072748,00004209,0001,C,316.00,EUR,
300,AZ,0788,2010-04-27,00038566,00001382,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019266,00003807,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072750,00002563,0001,C,316.00,EUR,
300,AZ,0788,2010-04-27,00038536,00001888,0001,P,515.00,EUR,
300,AZ,0788,2010-04-27,00038593,00000012,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019431,00001659,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072751,00003504,0001,C,299.00,EUR,
300,AZ,0788,2010-04-27,00038423,00002302,0001,P,515.00,EUR,
300,AZ,0788,2010-04-27,00038677,00001479,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019272,00004537,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072753,00001948,0001,C,333.00,EUR,
300,AZ,0788,2010-04-27,00038665,00001459,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019314,00002249,0001,C,305.00,USD,
300,AZ,0788,2010-04-27,00038671,00000007,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072754,00003697,0001,C,283.00,EUR,
300,AZ,0788,2010-04-27,00038539,00001828,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019288,00000591,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072756,00003185,0001,C,333.00,EUR,
300,AZ,0788,2010-04-27,00038638,00000339,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019463,00002707,0001,C,305.00,USD,
300,AZ,0788,2010-04-27,00038581,00001310,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072757,00000507,0001,C,333.00,EUR,
300,AZ,0788,2010-04-27,00038656,00003189,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019602,00004256,0001,C,305.00,USD,
300,AZ,0788,2010-04-27,00038596,00004136,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072759,00001776,0001,C,333.00,EUR,
300,AZ,0788,2010-04-27,00038560,00004545,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019587,00003120,0001,C,305.00,USD,
300,AZ,0788,2010-04-27,00038614,00003149,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072760,00002718,0001,C,283.00,EUR,
300,AZ,0788,2010-04-27,00038450,00000075,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019457,00000965,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072762,00003060,0001,C,333.00,EUR,
300,AZ,0788,2010-04-27,00038599,00002289,0001,P,515.00,EUR,
300,AZ,0788,2010-04-27,00038420,00003698,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019443,00004361,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072763,00004346,0001,C,316.00,EUR,
300,AZ,0788,2010-04-27,00038653,00001535,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019352,00003442,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072765,00002809,0001,C,299.00,EUR,
300,AZ,0788,2010-04-27,00038509,00000210,0001,P,515.00,EUR,
300,AZ,0788,2010-04-27,00038557,00000941,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019260,00002988,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072766,00000138,0001,C,266.00,EUR,
300,AZ,0788,2010-04-27,00038605,00002486,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019317,00001454,0001,C,305.00,USD,
300,AZ,0788,2010-04-27,00038488,00003004,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072768,00003038,0001,C,299.00,EUR,
300,AZ,0788,2010-04-27,00038533,00004132,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019326,00001691,0001,C,305.00,USD,
300,AZ,0788,2010-12-21,00053177,00002944,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072769,00000194,0001,C,316.00,EUR,
300,AZ,0788,2010-12-21,00053225,00001727,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019446,00003305,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072771,00002746,0001,C,283.00,EUR,
300,AZ,0788,2010-12-21,00053438,00003024,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019592,00002205,0001,C,305.00,USD,
300,AZ,0788,2010-12-21,00053447,00002924,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072772,00000523,0001,C,333.00,EUR,
300,AZ,0788,2010-12-21,00053465,00003072,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019467,00003843,0001,C,305.00,USD,
300,AZ,0788,2010-12-21,00053102,00000852,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072774,00002614,0001,C,283.00,EUR,
300,AZ,0788,2010-12-21,00053336,00001563,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019595,00002097,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072775,00000505,0001,C,299.00,EUR,
300,AZ,0788,2010-12-21,00053303,00004012,0001,P,515.00,EUR,
300,AZ,0788,2010-12-21,00053420,00004413,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019392,00000375,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072777,00004176,0001,C,333.00,EUR,
300,AZ,0788,2010-12-21,00053189,00002603,0001,P,515.00,EUR,
300,AZ,0788,2010-12-21,00053222,00001145,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072778,00002788,0001,C,316.00,EUR,
300,DL,0106,2011-02-28,00019478,00001559,0001,C,305.00,USD,
300,AZ,0788,2010-12-21,00053462,00003169,0001,P,515.00,EUR,
300,DL,0106,2011-02-28,00019254,00000351,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072780,00002661,0001,C,299.00,EUR,
300,AZ,0788,2010-12-21,00053309,00004088,0001,P,515.00,EUR,
300,AZ,0788,2010-12-21,00053435,00000768,0001,P,515.00,EUR,
300,DL,0106,2010-12-06,00014033,00001699,0001,C,305.00,USD,
300,AZ,0788,2010-12-21,00053479,00000535,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072781,00000779,0001,C,283.00,EUR,
300,AZ,0788,2010-12-21,00053363,00003811,0001,P,515.00,EUR,
300,DL,0106,2010-12-06,00014272,00002033,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072783,00001713,0001,C,299.00,EUR,
300,AZ,0788,2010-12-21,00053318,00003702,0001,P,515.00,EUR,
300,DL,0106,2010-12-06,00014347,00003393,0001,C,305.00,USD,
300,AZ,0788,2010-12-21,00053333,00003787,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072784,00003182,0001,C,316.00,EUR,
300,AZ,0788,2010-12-21,00053168,00002029,0001,P,515.00,EUR,
300,DL,0106,2010-12-06,00014060,00001876,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072786,00002795,0001,C,333.00,EUR,
300,AZ,0788,2010-12-21,00053417,00002161,0001,P,515.00,EUR,
300,DL,0106,2010-12-06,00014051,00003915,0001,C,305.00,USD,
300,AZ,0788,2010-12-21,00053117,00002980,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072787,00004395,0001,C,299.00,EUR,
300,AZ,0788,2010-12-21,00053453,00002382,0001,P,515.00,EUR,
300,DL,0106,2010-12-06,00014105,00004606,0001,C,305.00,USD,
300,AZ,0788,2010-12-21,00053345,00001768,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072789,00001876,0001,C,333.00,EUR,
300,DL,0106,2010-12-06,00014005,00003630,0001,C,305.00,USD,
300,AZ,0788,2010-12-21,00053231,00000965,0001,P,515.00,EUR,
300,AZ,0788,2010-12-21,00053459,00000720,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072790,00003573,0001,C,283.00,EUR,
300,DL,0106,2010-12-06,00014131,00003996,0001,C,305.00,USD,
300,AZ,0788,2010-12-21,00053396,00003626,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072792,00003399,0001,C,299.00,EUR,
300,DL,0106,2010-12-06,00014263,00003309,0001,C,305.00,USD,
300,AZ,0788,2010-12-21,00053321,00001073,0001,P,515.00,EUR,
300,AZ,0788,2010-12-21,00053156,00004618,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072793,00004258,0001,C,299.00,EUR,
300,DL,0106,2010-12-06,00014176,00001671,0001,C,305.00,USD,
300,AZ,0788,2010-12-21,00053312,00003048,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072795,00003069,0001,C,316.00,EUR,
300,AZ,0788,2010-12-21,00053249,00003060,0001,P,515.00,EUR,
300,DL,0106,2010-12-06,00014228,00001463,0001,C,305.00,USD,
300,AZ,0788,2010-12-21,00053270,00004281,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072796,00001425,0001,C,283.00,EUR,
300,DL,0106,2010-12-06,00014251,00003040,0001,C,305.00,USD,
300,AZ,0788,2010-12-21,00053216,00003052,0001,P,515.00,EUR,
300,AZ,0788,2010-12-21,00053108,00002049,0001,P,515.00,EUR,
300,DL,0106,2010-12-06,00014015,00003859,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072798,00001625,0001,C,299.00,EUR,
300,AZ,0788,2010-12-21,00053297,00000035,0001,P,515.00,EUR,
300,AZ,0788,2011-07-12,00065902,00000656,0001,P,515.00,EUR,
300,DL,0106,2010-12-06,00014358,00000012,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072799,00002749,0001,C,299.00,EUR,
300,AZ,0788,2011-07-12,00065929,00002900,0001,P,515.00,EUR,
300,DL,0106,2010-12-06,00014278,00002037,0001,C,305.00,USD,
300,AZ,0788,2011-07-12,00066069,00000696,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072801,00001337,0001,C,283.00,EUR,
300,AZ,0788,2011-07-12,00066057,00003598,0001,P,515.00,EUR,
300,DL,0106,2010-12-06,00014279,00002037,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072802,00002042,0001,C,316.00,EUR,
300,AZ,0788,2011-07-12,00065890,00000511,0001,P,515.00,EUR,
300,AZ,0788,2011-07-12,00066030,00002731,0001,P,515.00,EUR,
300,DL,0106,2010-12-06,00014261,00000800,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072804,00003363,0001,C,299.00,EUR,
300,AZ,0788,2011-07-12,00066078,00000018,0001,P,515.00,EUR,
300,DL,0106,2010-12-06,00014338,00000086,0001,C,305.00,USD,
300,AZ,0788,2011-07-12,00065962,00002093,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072805,00003453,0001,C,283.00,EUR,
300,AZ,0788,2011-07-12,00065818,00002896,0001,P,515.00,EUR,
300,DL,0106,2010-12-06,00014353,00001049,0001,C,305.00,USD,
300,AZ,0788,2011-07-12,00066012,00001121,0001,P,515.00,EUR,
300,LH,0401,2011-09-28,00072807,00001896,0001,C,333.00,EUR,
300,AZ,0788,2011-07-12,00065833,00004337,0001,P,515.00,EUR,
300,DL,0106,2010-12-06,00014185,00003747,0001,C,305.00,USD,
300,LH,0401,2011-09-28,00072808,00000021,0001,C,299.00,EUR,
300,AZ,0788,2011-07-12,00065881,00001318,0001,P,515.00,EUR,
