MANDT,CARRID,CONNID,FLDATE,BOOKID,CUSTOMID,TICKET,PLACE,ARCHIVE_
300,AZ,788,2010-09-21,47780,794,O,AIRPORT,
300,LH,2402,2010-04-24,168388,2272,O,AIRPORT,
300,AA,17,2011-04-20,22670,794,O,AIRPORT,
300,JL,407,2011-07-01,19289,3947,O,AIRPORT,
300,JL,407,2011-09-02,22050,794,O,AIRPORT,
300,QF,5,2011-02-25,19274,3947,O,AIRPORT,
300,LH,400,2011-05-07,23907,794,O,AIRPORT,
300,AA,17,2011-03-23,21138,3947,O,AIRPORT,
300,UA,7,2011-09-28,23713,794,O,AIRPORT,
300,UA,7,2011-06-04,17884,3947,O,AIRPORT,
300,AA,17,2011-04-27,23039,794,O,AIRPORT,
300,AZ,555,2011-01-26,17819,3947,O,AIRPORT,
300,UA,7,2010-12-11,10249,794,O,AIRPORT,
300,JL,407,2011-06-24,19039,3947,O,AIRPORT,
300,AA,17,2010-08-18,7659,794,O,AIRPORT,
300,DL,106,2011-02-14,18349,3947,O,AIRPORT,
300,LH,400,2010-08-21,7647,794,O,AIRPORT,
300,DL,1699,2010-10-04,47398,3947,O,AIRPORT,
300,UA,7,2010-10-02,7164,794,O,AIRPORT,
300,AA,26,2010-10-27,47255,3947,O,AIRPORT,
300,QF,5,2010-08-13,7237,794,O,AIRPORT,
300,JL,408,2011-12-24,48305,3947,O,AIRPORT,
300,AA,17,2010-10-13,11106,794,O,AIRPORT,
300,LH,400,2010-07-03,4793,3947,O,AIRPORT,
300,AA,17,2010-10-06,10838,794,O,AIRPORT,
300,DL,106,2011-04-11,22142,3947,O,AIRPORT,
300,JL,407,2010-12-03,9937,794,O,AIRPORT,
300,JL,407,2010-06-11,2369,3947,O,AIRPORT,
300,UA,7,2011-03-26,14954,794,O,AIRPORT,
300,JL,407,2011-10-07,23578,3947,O,AIRPORT,
300,AZ,555,2010-12-15,15242,794,O,AIRPORT,
300,UA,7,2010-09-25,6861,3947,O,AIRPORT,
300,LH,400,2010-12-11,14450,794,O,AIRPORT,
300,AZ,555,2010-08-04,6905,3947,O,AIRPORT,
300,JL,407,2011-03-11,14413,794,O,AIRPORT,
300,UA,7,2010-09-25,6884,3947,O,AIRPORT,
300,DL,106,2011-01-10,16182,794,O,AIRPORT,
300,AZ,555,2010-08-04,6586,3947,O,AIRPORT,
300,DL,106,2011-01-17,16648,794,O,AIRPORT,
300,QF,5,2010-10-29,11890,794,O,AIRPORT,
300,JL,407,2010-09-17,6548,3947,O,AIRPORT,
300,AZ,555,2010-10-27,12129,794,O,AIRPORT,
300,AA,17,2010-08-11,7191,3947,O,AIRPORT,
300,AZ,555,2010-07-28,6129,794,O,AIRPORT,
300,UA,7,2011-01-01,11322,3947,O,AIRPORT,
300,AZ,555,2010-10-20,11602,3947,O,AIRPORT,
300,UA,7,2011-02-12,13145,794,O,AIRPORT,
300,AA,17,2010-10-06,10530,3947,O,AIRPORT,
300,DL,106,2011-09-26,32408,794,O,AIRPORT,
300,QF,5,2010-10-08,10519,3947,O,AIRPORT,
300,AZ,555,2011-09-07,31828,794,O,AIRPORT,
300,JL,407,2010-05-14,1047,3947,O,AIRPORT,
300,DL,106,2011-09-19,31891,794,O,AIRPORT,
300,QF,5,2010-10-15,10899,3947,O,AIRPORT,
300,DL,106,2011-11-07,35235,794,O,AIRPORT,
300,JL,407,2010-11-26,9713,3947,O,AIRPORT,
300,QF,5,2011-10-14,33872,794,O,AIRPORT,
300,JL,407,2010-12-03,9905,3947,O,AIRPORT,
300,JL,408,2010-11-20,34664,794,O,AIRPORT,
300,AZ,555,2010-08-25,8001,3947,O,AIRPORT,
300,LH,400,2011-10-15,34721,794,O,AIRPORT,
300,UA,7,2010-11-06,8866,3947,O,AIRPORT,
300,AA,17,2011-06-29,27084,794,O,AIRPORT,
300,UA,7,2011-03-26,14920,3947,O,AIRPORT,
300,DL,106,2011-05-30,25164,794,O,AIRPORT,
300,UA,7,2011-04-02,15415,3947,O,AIRPORT,
300,DL,106,2011-06-27,26717,794,O,AIRPORT,
300,DL,106,2011-01-10,16204,3947,O,AIRPORT,
300,QF,5,2011-06-03,25614,794,O,AIRPORT,
300,QF,5,2011-01-07,16075,3947,O,AIRPORT,
300,LH,400,2011-06-04,25538,794,O,AIRPORT,
300,DL,106,2011-08-15,29830,794,O,AIRPORT,
300,AA,17,2011-07-20,28265,794,O,AIRPORT,
300,QF,5,2010-06-04,2854,794,O,AIRPORT,
300,JL,408,2010-06-05,28734,794,O,AIRPORT,
300,LH,400,2010-11-06,12363,3947,O,AIRPORT,
300,LH,400,2011-07-23,28627,794,O,AIRPORT,
300,AA,17,2010-06-02,2887,794,O,AIRPORT,
300,JL,407,2010-05-14,1188,3947,O,AIRPORT,
300,AZ,788,2010-07-20,43735,794,O,AIRPORT,
300,QF,6,2010-07-21,41998,794,O,AIRPORT,
300,AZ,555,2010-11-03,12216,3947,O,AIRPORT,
300,LH,401,2010-05-28,41979,794,O,AIRPORT,
300,QF,6,2010-11-03,46634,794,O,AIRPORT,
300,LH,400,2010-07-24,6088,3947,O,AIRPORT,
300,UA,941,2011-08-04,44579,794,O,AIRPORT,
300,JL,408,2010-09-18,32412,3947,O,AIRPORT,
300,DL,106,2011-09-26,32628,3947,O,AIRPORT,
300,LH,401,2010-07-23,45410,794,O,AIRPORT,
300,JL,408,2010-09-11,32243,3947,O,AIRPORT,
300,LH,401,2010-07-16,45021,794,O,AIRPORT,
300,AA,17,2011-10-05,33313,3947,O,AIRPORT,
300,UA,7,2010-07-31,4516,794,O,AIRPORT,
300,UA,941,2010-09-23,33342,3947,O,AIRPORT,
300,JL,408,2011-02-05,37608,794,O,AIRPORT,
300,AZ,555,2011-08-24,30881,3947,O,AIRPORT,
300,QF,5,2012-02-24,37382,794,O,AIRPORT,
300,UA,941,2010-08-12,31903,3947,O,AIRPORT,
300,AA,26,2010-05-26,40259,794,O,AIRPORT,
300,UA,941,2010-10-14,34021,3947,O,AIRPORT,
300,AZ,788,2010-05-25,40405,794,O,AIRPORT,
300,QF,5,2011-10-14,33525,3947,O,AIRPORT,
300,JL,408,2010-10-16,33530,3947,O,AIRPORT,
300,UA,941,2011-04-21,40945,794,O,AIRPORT,
300,LH,400,2011-10-08,34130,3947,O,AIRPORT,
300,UA,941,2011-03-10,39369,794,O,AIRPORT,
300,UA,7,2012-03-10,27441,3947,O,AIRPORT,
300,QF,6,2011-08-24,59773,794,O,AIRPORT,
300,QF,5,2011-06-03,25303,3947,O,AIRPORT,
300,AA,26,2011-08-03,59412,794,O,AIRPORT,
300,QF,5,2011-08-12,29755,3947,O,AIRPORT,
300,DL,1699,2011-04-11,59595,794,O,AIRPORT,
300,UA,941,2010-06-10,29685,3947,O,AIRPORT,
300,LH,401,2011-03-25,60634,794,O,AIRPORT,
300,LH,400,2011-08-27,30618,3947,O,AIRPORT,
300,DL,1699,2011-03-07,57147,794,O,AIRPORT,
300,AZ,555,2011-07-13,27985,3947,O,AIRPORT,
300,LH,401,2011-02-11,58147,794,O,AIRPORT,
300,LH,400,2010-06-05,2905,3947,O,AIRPORT,
300,AZ,788,2011-03-15,58502,794,O,AIRPORT,
300,AZ,555,2010-06-02,2861,3947,O,AIRPORT,
300,DL,1699,2011-06-27,64130,794,O,AIRPORT,
300,UA,941,2010-05-20,28910,3947,O,AIRPORT,
300,QF,6,2012-02-15,64717,794,O,AIRPORT,
300,UA,7,2010-07-31,4374,3947,O,AIRPORT,
300,DL,1699,2011-06-13,63166,794,O,AIRPORT,
300,AA,26,2010-06-30,41982,3947,O,AIRPORT,
300,LH,401,2010-10-29,51464,794,O,AIRPORT,
300,QF,5,2010-06-25,4287,3947,O,AIRPORT,
300,QF,6,2011-02-02,50855,794,O,AIRPORT,
300,UA,941,2011-06-16,42908,3947,O,AIRPORT,
300,UA,3504,2010-04-30,50813,794,O,AIRPORT,
300,LH,401,2011-01-21,56839,794,O,AIRPORT,
300,AZ,788,2010-08-31,46191,3947,O,AIRPORT,
300,DL,1699,2011-02-28,56929,794,O,AIRPORT,
300,DL,106,2010-07-05,4572,3947,O,AIRPORT,
300,AZ,788,2011-01-11,54420,794,O,AIRPORT,
300,UA,941,2011-09-08,45984,3947,O,AIRPORT,
300,AA,64,2010-08-13,70107,794,O,AIRPORT,
300,DL,1699,2010-09-20,46662,3947,O,AIRPORT,
300,DL,1699,2011-09-19,69227,794,O,AIRPORT,
300,AZ,788,2010-09-07,46552,3947,O,AIRPORT,
300,LH,401,2011-08-12,69186,794,O,AIRPORT,
300,DL,1699,2010-09-20,46584,3947,O,AIRPORT,
300,AZ,788,2011-08-09,67647,794,O,AIRPORT,
300,UA,7,2010-07-31,4557,3947,O,AIRPORT,
300,LH,401,2010-07-23,45549,3947,O,AIRPORT,
300,DL,1699,2011-08-29,67960,794,O,AIRPORT,
300,UA,941,2011-01-20,37653,3947,O,AIRPORT,
300,DL,1984,2010-10-04,85734,794,O,AIRPORT,
300,AA,17,2011-12-14,36737,3947,O,AIRPORT,
300,LH,402,2010-07-26,84956,794,O,AIRPORT,
300,JL,408,2011-04-30,40583,3947,O,AIRPORT,
300,UA,3504,2011-10-14,84968,794,O,AIRPORT,
300,AZ,788,2010-05-11,39375,3947,O,AIRPORT,
300,UA,3504,2011-05-27,75282,794,O,AIRPORT,
300,LH,401,2010-04-23,39780,3947,O,AIRPORT,
300,UA,3504,2011-05-27,75342,794,O,AIRPORT,
300,AA,26,2010-05-12,39835,3947,O,AIRPORT,
300,DL,1699,2011-12-12,73988,794,O,AIRPORT,
300,AZ,555,2010-04-21,242,3947,O,AIRPORT,
300,DL,1699,2012-02-13,74734,794,O,AIRPORT,
300,QF,6,2011-09-21,60859,3947,O,AIRPORT,
300,AA,64,2010-10-01,71980,794,O,AIRPORT,
300,AZ,788,2011-09-27,70584,794,O,AIRPORT,
300,DL,1699,2011-05-09,60978,3947,O,AIRPORT,
300,UA,3504,2011-05-06,73939,794,O,AIRPORT,
300,UA,3504,2010-08-27,58147,3947,O,AIRPORT,
300,DL,1984,2010-08-09,82301,794,O,AIRPORT,
300,AZ,788,2011-03-08,58243,3947,O,AIRPORT,
300,UA,3504,2011-09-02,81674,794,O,AIRPORT,
300,QF,6,2011-07-27,58443,3947,O,AIRPORT,
300,UA,3504,2011-09-30,83992,794,O,AIRPORT,
300,UA,3504,2010-08-27,58394,3947,O,AIRPORT,
300,AA,64,2011-09-23,84781,794,O,AIRPORT,
300,DL,106,2010-05-03,853,3947,O,AIRPORT,
300,LH,402,2010-06-28,83233,794,O,AIRPORT,
300,UA,7,2010-04-24,83,3947,O,AIRPORT,
300,AA,64,2011-04-22,79099,794,O,AIRPORT,
300,UA,7,2010-05-08,766,3947,O,AIRPORT,
300,AZ,788,2011-06-28,64883,3947,O,AIRPORT,
300,AA,26,2011-12-07,64659,3947,O,AIRPORT,
300,AA,64,2011-05-27,80446,794,O,AIRPORT,
300,AA,26,2011-09-14,61498,3947,O,AIRPORT,
300,UA,3504,2011-08-05,79569,794,O,AIRPORT,
300,DL,1699,2010-10-25,49087,3947,O,AIRPORT,
300,DL,1984,2012-04-16,113333,794,O,AIRPORT,
300,DL,1699,2010-11-22,50575,3947,O,AIRPORT,
300,AZ,789,2011-12-28,112838,794,O,AIRPORT,
300,QF,6,2011-06-01,55865,3947,O,AIRPORT,
300,UA,3516,2011-05-03,112727,794,O,AIRPORT,
300,DL,1699,2011-01-31,55191,3947,O,AIRPORT,
300,QF,6,2011-06-15,56621,3947,O,AIRPORT,
300,DL,1984,2011-08-01,104276,794,O,AIRPORT,
300,AZ,788,2010-12-28,53777,3947,O,AIRPORT,
300,UA,3516,2010-12-14,104106,794,O,AIRPORT,
300,UA,3504,2010-06-25,54205,3947,O,AIRPORT,
300,LH,402,2011-05-16,103477,794,O,AIRPORT,
300,UA,3516,2010-10-12,100050,794,O,AIRPORT,
300,AA,26,2011-03-30,53983,3947,O,AIRPORT,
300,UA,3516,2010-10-12,100087,794,O,AIRPORT,
300,LH,401,2010-12-10,54221,3947,O,AIRPORT,
300,LH,402,2011-05-02,102415,794,O,AIRPORT,
300,AZ,788,2011-09-13,69620,3947,O,AIRPORT,
300,DL,1984,2011-10-31,109894,794,O,AIRPORT,
300,LH,401,2011-06-24,66383,3947,O,AIRPORT,
300,AZ,789,2011-08-17,106380,794,O,AIRPORT,
300,DL,1699,2011-07-18,65296,3947,O,AIRPORT,
300,LH,401,2011-07-22,68123,3947,O,AIRPORT,
300,LH,402,2011-07-11,106932,794,O,AIRPORT,
300,AZ,789,2010-09-29,85999,3947,O,AIRPORT,
300,AZ,789,2011-09-21,108534,794,O,AIRPORT,
300,UA,3504,2011-11-04,86284,3947,O,AIRPORT,
300,LH,402,2010-11-29,93144,794,O,AIRPORT,
300,AZ,789,2010-09-29,86321,3947,O,AIRPORT,
300,LH,402,2010-11-22,92529,794,O,AIRPORT,
300,AA,64,2011-12-02,86937,3947,O,AIRPORT,
300,UA,3516,2010-06-08,92268,794,O,AIRPORT,
300,LH,402,2010-08-23,86667,3947,O,AIRPORT,
300,AZ,789,2011-03-16,96436,794,O,AIRPORT,
300,DL,1699,2012-02-20,74950,3947,O,AIRPORT,
300,DL,1984,2011-03-28,96410,794,O,AIRPORT,
300,UA,3504,2011-05-27,75373,3947,O,AIRPORT,
300,UA,3516,2010-08-17,96738,794,O,AIRPORT,
300,AA,64,2011-01-07,75536,3947,O,AIRPORT,
300,DL,1984,2011-02-28,94925,794,O,AIRPORT,
300,AZ,788,2011-11-22,74064,3947,O,AIRPORT,
300,AZ,789,2011-04-13,98208,794,O,AIRPORT,
300,LH,401,2011-10-21,74459,3947,O,AIRPORT,
300,AZ,789,2011-04-06,97836,794,O,AIRPORT,
300,DL,1984,2010-05-17,77120,3947,O,AIRPORT,
300,LH,402,2011-02-07,97423,794,O,AIRPORT,
300,DL,1984,2010-05-10,76798,3947,O,AIRPORT,
300,UA,3516,2011-11-08,125172,794,O,AIRPORT,
300,UA,3504,2011-07-01,77435,3947,O,AIRPORT,
300,AZ,790,2010-10-20,122381,794,O,AIRPORT,
300,AZ,789,2010-05-12,77376,3947,O,AIRPORT,
300,AZ,790,2011-03-09,128574,794,O,AIRPORT,
300,LH,401,2011-11-11,75871,3947,O,AIRPORT,
300,LH,454,2011-01-08,129356,794,O,AIRPORT,
300,AA,64,2010-10-01,72009,3947,O,AIRPORT,
300,UA,3517,2010-05-17,129842,794,O,AIRPORT,
300,UA,3504,2011-03-25,71212,3947,O,AIRPORT,
300,UA,3516,2011-11-15,125624,794,O,AIRPORT,
300,DL,1699,2011-11-07,72606,3947,O,AIRPORT,
300,UA,3516,2011-12-06,126426,794,O,AIRPORT,
300,DL,1984,2010-08-09,82271,3947,O,AIRPORT,
300,AZ,790,2010-04-28,114740,794,O,AIRPORT,
300,AA,64,2011-06-24,81382,3947,O,AIRPORT,
300,AZ,789,2012-03-21,113939,794,O,AIRPORT,
300,LH,402,2010-07-19,84633,3947,O,AIRPORT,
300,LH,454,2010-06-05,119706,794,O,AIRPORT,
300,AZ,789,2010-08-11,83256,3947,O,AIRPORT,
300,AZ,790,2010-08-18,119787,794,O,AIRPORT,
300,AZ,789,2010-08-11,83042,3947,O,AIRPORT,
300,AZ,791,2011-03-24,153404,794,O,AIRPORT,
300,DL,1984,2010-05-31,77952,3947,O,AIRPORT,
300,LH,455,2010-07-12,148602,794,O,AIRPORT,
300,UA,3504,2011-08-19,80489,3947,O,AIRPORT,
300,AZ,791,2011-09-22,159949,794,O,AIRPORT,
300,UA,3504,2011-08-12,80159,3947,O,AIRPORT,
300,AZ,791,2011-12-22,162448,794,O,AIRPORT,
300,DL,1984,2012-01-23,112488,3947,O,AIRPORT,
300,LH,455,2011-02-07,156061,794,O,AIRPORT,
300,UA,3516,2011-05-10,113190,3947,O,AIRPORT,
300,AZ,791,2011-06-30,156941,794,O,AIRPORT,
300,LH,455,2011-04-18,158464,794,O,AIRPORT,
300,AZ,791,2011-07-07,157247,794,O,AIRPORT,
300,DL,1984,2011-07-18,103355,3947,O,AIRPORT,
300,AZ,790,2011-09-21,137298,794,O,AIRPORT,
300,UA,3516,2010-10-19,100622,3947,O,AIRPORT,
300,UA,3517,2010-09-13,137267,794,O,AIRPORT,
300,UA,3516,2010-11-09,102025,3947,O,AIRPORT,
300,UA,3517,2010-05-31,130771,794,O,AIRPORT,
300,AZ,789,2011-10-26,110418,3947,O,AIRPORT,
300,UA,3517,2010-07-19,133919,794,O,AIRPORT,
300,LH,402,2011-07-18,107439,3947,O,AIRPORT,
300,UA,3517,2010-07-05,132668,794,O,AIRPORT,
300,UA,3516,2011-02-08,107645,3947,O,AIRPORT,
300,UA,3517,2010-10-11,138816,794,O,AIRPORT,
300,UA,3516,2011-02-01,106913,3947,O,AIRPORT,
300,LH,454,2011-10-08,142025,794,O,AIRPORT,
300,AZ,789,2011-08-31,106931,3947,O,AIRPORT,
300,LH,454,2011-09-10,140667,794,O,AIRPORT,
300,AZ,789,2011-09-21,108593,3947,O,AIRPORT,
300,LH,454,2011-09-10,140450,794,O,AIRPORT,
300,DL,1984,2011-10-17,109162,3947,O,AIRPORT,
300,LH,454,2011-09-24,141165,794,O,AIRPORT,
300,DL,1984,2010-12-27,90821,3947,O,AIRPORT,
300,LH,455,2011-11-07,166226,794,O,AIRPORT,
300,UA,3516,2010-05-18,91117,3947,O,AIRPORT,
300,UA,3517,2011-11-21,164853,794,O,AIRPORT,
300,UA,3516,2010-05-18,91045,3947,O,AIRPORT,
300,LH,2462,2012-02-17,267587,794,O,AIRPORT,
300,LH,402,2010-09-27,89164,3947,O,AIRPORT,
300,LH,2462,2011-02-18,256464,794,O,AIRPORT,
300,DL,1984,2011-05-16,99567,3947,O,AIRPORT,
300,LH,2462,2011-04-29,258859,794,O,AIRPORT,
300,DL,1984,2011-03-28,96525,3947,O,AIRPORT,
300,LH,2462,2012-04-27,267915,794,O,AIRPORT,
300,AZ,789,2011-02-23,95130,3947,O,AIRPORT,
300,LH,2463,2010-10-09,274043,794,O,AIRPORT,
300,LH,402,2011-02-14,97802,3947,O,AIRPORT,
300,LH,2436,2010-06-19,233733,794,O,AIRPORT,
300,DL,1984,2011-04-04,96831,3947,O,AIRPORT,
300,LH,2436,2010-09-04,235269,794,O,AIRPORT,
300,AZ,790,2010-10-27,122622,3947,O,AIRPORT,
300,LH,2436,2011-02-05,238456,794,O,AIRPORT,
300,AZ,790,2011-03-16,129091,3947,O,AIRPORT,
300,LH,2436,2011-01-29,238370,794,O,AIRPORT,
300,AZ,790,2010-12-29,125611,3947,O,AIRPORT,
300,LH,2415,2011-09-02,228778,794,O,AIRPORT,
300,AZ,790,2010-06-23,117059,3947,O,AIRPORT,
300,LH,2436,2011-09-03,243007,794,O,AIRPORT,
300,LH,402,2012-01-09,116948,3947,O,AIRPORT,
300,LH,2436,2011-10-22,244079,794,O,AIRPORT,
300,AZ,790,2010-06-02,116233,3947,O,AIRPORT,
300,LH,3577,2010-06-26,293229,794,O,AIRPORT,
300,UA,3516,2011-08-28,120047,3947,O,AIRPORT,
300,UA,3516,2011-09-06,121145,3947,O,AIRPORT,
300,LH,3577,2010-05-29,292111,794,O,AIRPORT,
300,UA,3517,2011-05-09,151952,3947,O,AIRPORT,
300,LH,2463,2011-06-04,282637,794,O,AIRPORT,
300,LH,455,2010-10-25,152393,3947,O,AIRPORT,
300,LH,3577,2011-08-06,307593,794,O,AIRPORT,
300,UA,3517,2011-05-16,152307,3947,O,AIRPORT,
300,LH,2407,2010-11-27,198489,794,O,AIRPORT,
300,AZ,791,2011-02-24,152437,3947,O,AIRPORT,
300,LH,2407,2011-04-09,203250,794,O,AIRPORT,
300,AZ,791,2010-10-07,147504,3947,O,AIRPORT,
300,LH,2415,2010-11-19,219607,794,O,AIRPORT,
300,AZ,791,2011-09-29,160042,3947,O,AIRPORT,
300,LH,2415,2010-10-08,218393,794,O,AIRPORT,
